session,name,query,title,product_id,category,clean_text
d29564e113c3b8eeca1570ec26845be5adb73d57e40b65eb33a2fcd41fdbd716,productview,,white prada bag,2089482.0,bags,white prada bag
d29564e113c3b8eeca1570ec26845be5adb73d57e40b65eb33a2fcd41fdbd716,productview,,white leather bag,3909061.0,bags,white leather bag
d29564e113c3b8eeca1570ec26845be5adb73d57e40b65eb33a2fcd41fdbd716,productview,,leather bag,6747521.0,bags,leather bag
d29564e113c3b8eeca1570ec26845be5adb73d57e40b65eb33a2fcd41fdbd716,productview,,red gucci coat,7366850.0,coats,red gucci coat
d29564e113c3b8eeca1570ec26845be5adb73d57e40b65eb33a2fcd41fdbd716,productview,,coat,1255264.0,coats,coat
04887a80950be6087da8b1e0ec3b80e8478db27779ce42ae3dffb0df3bc0fcbe,productview,,beige metalic ana luisa watch,8882812.0,jewellery,beige metalic ana luisa watch
56b9b97509d497a01c8be6cf0aaf3c53680b7e62bb112b8274147cb7702a7bfb,productview,,green leather wristwatch,6656681.0,watches,green leather wristwatch
56b9b97509d497a01c8be6cf0aaf3c53680b7e62bb112b8274147cb7702a7bfb,productview,,Rolex watch,9023669.0,watches,rolex watch
56b9b97509d497a01c8be6cf0aaf3c53680b7e62bb112b8274147cb7702a7bfb,productview,,watch,5496752.0,watches,watch
8bb909f2e71d211b11ec82988eefe0c06669d4c9e100b97a6f73244ca9f4e338,productview,,black gold gucci wristwatch,74491.0,jewellery,black gold gucci wristwatch
8bb909f2e71d211b11ec82988eefe0c06669d4c9e100b97a6f73244ca9f4e338,productview,,metalic wristwatch,1244247.0,jewellery,metalic wristwatch
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,metalic hermes bag,6639083.0,bags,metalic hermes bag
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,hermes bag,4123832.0,bags,hermes bag
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,yellow Rolex wristwatch,1496062.0,watches,yellow rolex wristwatch
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,north face jacket,3176076.0,coats,north face jacket
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,green gold Adidas coat,442920.0,coats,green gold adidas coat
9e4d1744490531bb504471affdd3c77b7319b4199fb75fe39193c4c587d2e48e,productview,,yellow Adidas coat,7338454.0,coats,yellow adidas coat
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,gold watch,3354668.0,jewellery,gold watch
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,yellow wool gucci shoe,4557555.0,shoes,yellow wool gucci shoe
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,gucci boot,2956817.0,shoes,gucci boot
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,gucci shoe,2166500.0,shoes,gucci shoe
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,new balance high heels,825923.0,shoes,new balance high heels
7039fd0ea22577b570990052cb96e99d5fc03736cf40ad52560f9fe011eca005,productview,,red prada high heels,4859069.0,shoes,red prada high heels
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,green metalic watch,3710806.0,watches,green metalic watch
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,green gold wristwatch,94848.0,watches,green gold wristwatch
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,white Rolex watch,1577756.0,watches,white rolex watch
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,beige wool louis vuitton bag,6527516.0,bags,beige wool louis vuitton bag
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,blue leather louis vuitton bag,656126.0,bags,blue leather louis vuitton bag
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,gold hermes bag,3446929.0,bags,gold hermes bag
59c7e4e5f11b216d1975f65e350c03a1065639b90479b62283dcc976ebc6b1d3,productview,,jacket,4327332.0,coats,jacket
f3be429a7df644394425b1c586e29fd8f2fa699456c3eb7a8f06afc882763d87,productview,,white wool jacket,2097941.0,coats,white wool jacket
f3be429a7df644394425b1c586e29fd8f2fa699456c3eb7a8f06afc882763d87,productview,,yellow wool jacket,4127767.0,coats,yellow wool jacket
f3be429a7df644394425b1c586e29fd8f2fa699456c3eb7a8f06afc882763d87,productview,,white north face coat,6739150.0,coats,white north face coat
4031d16548701de3b6514e23c72902e6be8f4f9e46eba5135624dee86837a7cc,productview,,leather high heels,148046.0,shoes,leather high heels
4031d16548701de3b6514e23c72902e6be8f4f9e46eba5135624dee86837a7cc,productview,,leather new balance shoe,7471570.0,shoes,leather new balance shoe
